# format org.openvanilla.mcbopomofo.sorted
一-ㄧˊ-世-ㄕˋ -4.6987
一-ㄧˊ-世-ㄕˋ-紀-ㄐㄧˋ -4.4017
一-ㄧˊ-代-ㄉㄞˋ -4.5545
一-ㄧˊ-代-ㄉㄞˋ-不-ㄅㄨˋ-如-ㄖㄨˊ-一-ㄧˊ-代-ㄉㄞˋ -4.7471
一-ㄧˊ-件-ㄐㄧㄢˋ -4.3480
一-ㄧˊ-件-ㄐㄧㄢˋ-事-ㄕˋ -4.3457
一-ㄧˊ-份-ㄈㄣˋ -4.4547
一-ㄧˊ-位-ㄨㄟˋ -4.1000
一-ㄧˊ-個-ㄍㄜˋ-個-ㄍㄜˋ -4.4200
一-ㄧˊ-個-ㄍㄜˋ-個-ㄍㄜ˙ -4.4200
一-ㄧˊ-個-ㄍㄜ˙ -2.8826
一-ㄧˊ-個-ㄍㄜ˙-人-ㄖㄣˊ -3.8205
一-ㄧˊ-個-ㄍㄜ˙-個-ㄍㄜ˙ -4.4200
一-ㄧˊ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.0671
一-ㄧˊ-億-ㄧˋ -4.7076
一-ㄧˊ-再-ㄗㄞˋ -4.4804
一-ㄧˊ-切-ㄑㄧㄝˋ -3.9006
一-ㄧˊ-切-ㄑㄧㄝˋ-都-ㄉㄡ -4.5728
一-ㄧˊ-切-ㄑㄧㄝˋ-都-ㄉㄡ-是-ㄕˋ -4.6753
一-ㄧˊ-半-ㄅㄢˋ -4.2365
一-ㄧˊ-句-ㄐㄩˋ -4.6543
一-ㄧˊ-句-ㄐㄩˋ-話-ㄏㄨㄚˋ -4.5848
一-ㄧˊ-向-ㄒㄧㄤˋ -4.4513
一-ㄧˊ-塊-ㄎㄨㄞˋ -4.3461
一-ㄧˊ-塊-ㄎㄨㄞˋ-兒-ㄦ -4.6832
一-ㄧˊ-塊-ㄎㄨㄞˋ-兒-ㄦˊ -4.6832
一-ㄧˊ-大-ㄉㄚˋ-早-ㄗㄠˇ -4.6948
一-ㄧˊ-套-ㄊㄠˋ -4.4673
一-ㄧˊ-定-ㄉㄧㄥˋ -3.4194
一-ㄧˊ-定-ㄉㄧㄥˋ-是-ㄕˋ -4.2914
一-ㄧˊ-定-ㄉㄧㄥˋ-會-ㄏㄨㄟˋ -4.1513
一-ㄧˊ-定-ㄉㄧㄥˋ-要-ㄧㄠˋ -3.7840
一-ㄧˊ-屆-ㄐㄧㄝˋ -4.6760
一-ㄧˊ-帶-ㄉㄞˋ -4.5860
一-ㄧˊ-度-ㄉㄨˋ -4.5716
一-ㄧˊ-座-ㄗㄨㄛˋ -4.6583
一-ㄧˊ-技-ㄐㄧˋ-之-ㄓ-長-ㄔㄤˊ -4.6653
一-ㄧˊ-日-ㄖˋ -4.1097
一-ㄧˊ-旦-ㄉㄢˋ -4.2129
一-ㄧˊ-樣-ㄧㄤˋ -3.3905
一-ㄧˊ-樣-ㄧㄤˋ-的-ㄉㄜ˙ -3.9422
一-ㄧˊ-次-ㄘˋ -3.6885
一-ㄧˊ-步-ㄅㄨˋ -3.9475
一-ㄧˊ-段-ㄉㄨㄢˋ -4.1852
一-ㄧˊ-片-ㄆㄧㄢˋ -4.4734
一-ㄧˊ-系-ㄒㄧˋ-列-ㄌㄧㄝˋ -4.4284
一-ㄧˊ-致-ㄓˋ -4.3667
一-ㄧˊ-萬-ㄨㄢˋ -4.2970
一-ㄧˊ-號-ㄏㄠˋ -4.4930
一-ㄧˊ-貫-ㄍㄨㄢˋ -4.6583
一-ㄧˊ-路-ㄌㄨˋ -4.4691
一-ㄧˊ-輩-ㄅㄟˋ-子-ㄗ˙ -4.6987
一-ㄧˊ-部-ㄅㄨˋ -4.1029
一-ㄧˊ-部-ㄅㄨˋ-分-ㄈㄣˋ -4.2023
一-ㄧˊ-陣-ㄓㄣˋ -4.3526
一-ㄧˊ-陣-ㄓㄣˋ-子-ㄗ˙ -4.2023
一-ㄧˊ-面-ㄇㄧㄢˋ -4.4597
一-ㄧˊ-項-ㄒㄧㄤˋ -4.3196
一-ㄧˋ-些-ㄒㄧㄝ -3.2909
一-ㄧˋ-個-ㄍㄜˋ-中-ㄓㄨㄥ-國-ㄍㄨㄛˊ-政-ㄓㄥˋ-策-ㄘㄜˋ -4.5430
一-ㄧˋ-個-ㄍㄜ˙ -2.8826
一-ㄧˋ-個-ㄍㄜ˙-人-ㄖㄣˊ -3.8205
一-ㄧˋ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.0671
一-ㄧˋ-千-ㄑㄧㄢ -4.0195
一-ㄧˋ-千-ㄑㄧㄢ-萬-ㄨㄢˋ -4.6003
一-ㄧˋ-口-ㄎㄡˇ-氣-ㄑㄧˋ -4.5470
一-ㄧˋ-台-ㄊㄞˊ -4.4179
一-ㄧˋ-名-ㄇㄧㄥˊ -4.4885
